iter	Passed	Remaining
0	2	2513
1	4	2131
2	5	1664
3	5	1378
4	6	1368
5	7	1319
6	9	1322
7	10	1356
8	12	1428
9	15	1496
10	17	1566
11	19	1596
12	21	1612
13	23	1620
14	24	1632
15	26	1643
16	27	1583
17	29	1592
18	29	1544
19	31	1558
20	33	1563
21	35	1563
22	36	1561
23	38	1562
24	40	1560
25	41	1555
26	42	1547
27	43	1522
28	45	1513
29	46	1487
30	47	1483
31	48	1462
32	49	1452
33	50	1443
34	52	1439
35	53	1431
36	54	1422
37	55	1417
38	57	1410
39	58	1403
40	59	1398
41	61	1393
42	62	1386
43	63	1380
44	64	1360
45	65	1354
46	66	1352
47	68	1348
48	69	1344
49	70	1339
50	71	1336
51	73	1333
52	74	1329
53	75	1325
54	76	1321
55	78	1315
56	79	1311
57	80	1307
58	81	1304
59	83	1300
60	84	1297
61	85	1294
62	86	1289
63	87	1285
64	89	1282
65	90	1279
66	91	1275
67	92	1271
68	94	1268
69	95	1264
70	96	1261
71	97	1250
72	98	1247
73	99	1244
74	100	1243
75	101	1232
76	102	1231
77	103	1224
78	104	1221
79	105	1218
80	107	1217
81	108	1215
82	109	1212
83	111	1211
84	112	1208
85	113	1206
86	114	1204
87	115	1201
88	117	1199
89	118	1198
90	120	1202
91	121	1196
92	122	1194
93	123	1192
94	124	1190
95	126	1188
96	127	1186
97	128	1184
98	129	1182
99	131	1181
100	132	1178
101	133	1172
102	134	1170
103	135	1168
104	136	1167
105	138	1167
106	139	1165
107	140	1163
108	142	1161
109	142	1156
110	144	1155
111	145	1154
112	146	1146
113	147	1144
114	148	1142
115	149	1137
116	150	1136
117	151	1135
118	152	1130
119	153	1128
120	155	1127
121	155	1119
122	156	1118
123	158	1116
124	159	1115
125	159	1108
126	160	1104
127	161	1102
128	163	1101
129	164	1100
130	165	1099
131	166	1095
132	167	1089
133	168	1087
134	169	1087
135	170	1085
136	172	1084
137	173	1082
138	174	1082
139	175	1080
140	177	1079
141	178	1077
142	179	1076
143	180	1075
144	182	1074
145	183	1072
146	184	1070
147	185	1065
148	186	1063
149	187	1062
150	188	1060
151	189	1059
152	191	1058
153	192	1057
154	193	1055
155	194	1054
156	196	1052
157	197	1052
158	198	1050
159	199	1049
160	201	1049
161	202	1047
162	203	1046
163	205	1045
164	206	1043
165	207	1042
166	208	1041
167	210	1040
168	210	1037
169	212	1035
170	213	1034
171	214	1032
172	215	1031
173	217	1030
174	218	1029
175	219	1027
176	220	1026
177	222	1025
178	223	1024
179	224	1023
180	225	1019
181	226	1018
182	227	1014
183	228	1013
184	229	1012
185	231	1011
186	232	1010
187	233	1010
188	235	1009
189	236	1008
190	237	1007
191	239	1006
192	240	1004
193	241	1003
194	242	1002
195	244	1001
196	244	997
197	246	996
198	247	995
199	248	993
200	249	992
201	251	991
202	251	987
203	252	985
204	253	984
205	255	983
206	256	982
207	257	981
208	258	980
209	260	979
210	261	977
211	262	976
212	263	975
213	265	974
214	266	973
215	267	971
216	268	970
217	270	969
218	271	967
219	272	964
220	273	963
221	274	962
222	275	960
223	277	959
224	278	958
225	279	957
226	280	953
227	280	951
228	282	950
229	283	948
230	284	947
231	285	946
232	287	945
233	287	941
234	288	939
235	289	938
236	290	936
237	291	932
238	292	931
239	293	930
240	295	929
241	296	928
242	297	925
243	298	924
244	299	922
245	300	921
246	301	920
247	302	917
248	303	914
249	304	913
250	305	912
251	306	909
252	307	907
253	308	906
254	309	905
255	311	904
256	312	903
257	313	901
258	314	900
259	315	898
260	316	897
261	318	896
262	319	895
263	320	894
264	322	893
265	322	890
266	323	888
267	325	887
268	326	886
269	327	884
270	327	881
271	328	878
272	329	877
273	330	876
274	332	875
275	332	873
276	334	872
277	335	870
278	336	868
279	337	867
280	338	866
281	339	864
282	340	863
283	342	862
284	343	861
285	343	858
286	344	856
287	346	855
288	347	854
289	348	853
290	349	850
291	350	849
292	351	848
293	352	847
294	354	846
295	355	845
296	356	843
297	357	843
298	359	841
299	360	840
300	361	839
301	362	838
302	363	837
303	365	835
304	366	834
305	367	833
306	368	832
307	370	831
308	371	830
309	372	829
310	373	827
311	374	826
312	376	825
313	377	824
314	377	821
315	379	820
316	379	817
317	380	816
318	381	814
319	383	814
320	384	813
321	385	812
322	387	811
323	388	810
324	389	809
325	391	808
326	392	807
327	393	806
328	394	805
329	395	803
330	397	802
331	398	801
332	399	800
333	400	799
334	402	798
335	402	796
336	404	794
337	405	793
338	406	792
339	407	791
340	409	790
341	410	789
342	411	788
343	413	787
344	414	786
345	414	784
346	416	783
347	416	780
348	418	779
349	419	778
350	419	776
351	421	775
352	422	774
353	422	771
354	423	770
355	425	769
356	425	767
357	427	766
358	428	765
359	429	764
360	431	763
361	432	762
362	433	760
363	434	759
364	435	757
365	436	756
366	438	755
367	439	754
368	440	752
369	441	751
370	442	750
371	444	749
372	445	748
373	446	747
374	447	746
375	449	745
376	450	744
377	451	743
378	452	741
379	453	740
380	454	739
381	456	737
382	457	736
383	458	735
384	459	734
385	461	733
386	462	732
387	463	731
388	464	729
389	465	728
390	466	727
391	468	726
392	469	725
393	470	723
394	471	722
395	472	721
396	473	719
397	475	718
398	476	717
399	477	716
400	478	715
401	479	713
402	480	712
403	482	711
404	483	710
405	484	709
406	486	708
407	487	707
408	488	706
409	489	705
410	491	703
411	492	702
412	493	701
413	494	700
414	496	699
415	497	698
416	498	697
417	500	696
418	501	695
419	502	693
420	503	692
421	505	691
422	506	690
423	507	689
424	508	688
425	510	687
426	511	686
427	512	685
428	513	683
429	514	682
430	515	681
431	516	679
432	517	678
433	519	677
434	520	675
435	521	674
436	522	673
437	523	672
438	525	671
439	526	670
440	527	669
441	529	667
442	530	666
443	531	665
444	532	664
445	534	663
446	535	662
447	536	661
448	537	660
449	539	658
450	540	657
451	541	656
452	542	655
453	543	654
454	545	653
455	546	651
456	547	650
457	549	649
458	549	648
459	551	646
460	551	644
461	552	643
462	554	642
463	555	641
464	556	640
465	557	638
466	558	637
467	559	636
468	561	635
469	562	634
470	562	632
471	564	630
472	564	628
473	564	626
474	566	625
475	567	624
476	568	623
477	569	622
478	571	621
479	572	620
480	573	618
481	574	617
482	576	616
483	577	615
484	578	614
485	579	613
486	581	612
487	582	611
488	583	609
489	584	608
490	585	607
491	587	606
492	588	605
493	589	603
494	590	602
495	591	600
496	592	599
497	593	598
498	595	597
499	596	596
500	597	595
501	598	594
502	599	592
503	599	590
504	601	589
505	602	588
506	603	586
507	604	585
508	605	584
509	607	583
510	608	582
511	609	581
512	610	579
513	611	578
514	613	577
515	614	576
516	616	575
517	617	574
518	618	573
519	619	571
520	620	570
521	621	568
522	622	567
523	623	566
524	624	565
525	625	564
526	627	562
527	628	561
