iter	Logloss
0	0.6912539164
1	0.6896818797
2	0.6881912231
3	0.6869562785
4	0.685177358
5	0.683226649
6	0.6813439051
7	0.6792363485
8	0.6769968669
9	0.6746564229
10	0.6732223511
11	0.6712889353
12	0.6697752635
13	0.6679780324
14	0.6661132813
15	0.6640914917
16	0.6627156576
17	0.6604966482
18	0.6591478984
19	0.6570737203
20	0.6554051717
21	0.6537338257
22	0.6516784668
23	0.6496541341
24	0.6477056503
25	0.6456626892
26	0.6435176849
27	0.641623052
28	0.6396636327
29	0.6379293442
30	0.636092631
31	0.6348438263
32	0.6333649953
33	0.6317046483
34	0.629986318
35	0.6281491597
36	0.6264045715
37	0.6245977402
38	0.6227265676
39	0.6210711161
40	0.6201207479
41	0.6185287476
42	0.6168506622
43	0.6156660716
44	0.6147677739
45	0.6131509145
46	0.6115066528
47	0.609742101
48	0.6082125346
49	0.6069271088
50	0.6057088216
51	0.6039943695
52	0.6026716868
53	0.6010377248
54	0.5995836258
55	0.5983130137
56	0.5968847275
57	0.5951501211
58	0.5936539332
59	0.5917112986
60	0.590231959
61	0.5888693492
62	0.5876670837
63	0.5864500682
64	0.5850378036
65	0.5833619436
66	0.5818059285
67	0.5805057526
68	0.5790429433
69	0.5775960286
70	0.5763400396
71	0.5753139496
72	0.5738803864
73	0.5725771586
74	0.5712256114
75	0.5700828552
76	0.568523407
77	0.5674090703
78	0.5662635167
79	0.5646795909
80	0.56350619
81	0.562228775
82	0.5609997431
83	0.5595989227
84	0.5584206263
85	0.5571621577
86	0.5559647878
87	0.5548444112
88	0.5537130992
89	0.5526479085
90	0.551291275
91	0.5505407333
92	0.549714152
93	0.5488968531
94	0.547754542
95	0.54653759
96	0.5452133179
97	0.5439306895
98	0.5427886963
99	0.5416669846
100	0.5406431834
101	0.539460818
102	0.5385011037
103	0.5376184464
104	0.5366251628
105	0.5351922989
106	0.5343437195
107	0.5333280881
108	0.532253774
109	0.531537501
110	0.53071359
111	0.5293636958
112	0.5287422498
113	0.5279561361
114	0.5266006788
115	0.5260135015
116	0.5252633413
117	0.5239538829
118	0.5226917903
119	0.5218361219
120	0.5205801328
121	0.5201423327
122	0.5189167976
123	0.5177744548
124	0.5168967247
125	0.5167902311
126	0.5159219742
127	0.515305233
128	0.5144219716
129	0.5133271853
130	0.5125420252
131	0.5117331823
132	0.511595281
133	0.5106209119
134	0.5095172246
135	0.5085030238
136	0.5079392115
137	0.5070030212
138	0.5062384288
139	0.5051451365
140	0.5040538788
141	0.502917544
142	0.5015559514
143	0.5006682396
144	0.4997399012
145	0.4989339828
146	0.4981610934
147	0.4976447423
148	0.4967080434
149	0.4962369919
150	0.4956169764
151	0.494807593
152	0.4940508842
153	0.4931495031
154	0.4929191589
155	0.4918160756
156	0.4911423047
157	0.4903978348
158	0.4894796054
159	0.4886390686
160	0.4878381093
161	0.4872287114
162	0.4863318125
163	0.4855925878
164	0.4849514961
165	0.4843496323
166	0.4838570913
167	0.4826597214
168	0.4821092606
169	0.4808541616
170	0.4799242338
171	0.4791880608
172	0.4781874657
173	0.4775960604
174	0.4770143191
175	0.4759922663
176	0.4752928416
177	0.4746735891
178	0.4738694509
179	0.4731860161
180	0.4726235708
181	0.4714378675
182	0.470682017
183	0.4698394775
184	0.4690847715
185	0.468318971
186	0.4676623027
187	0.4669983228
188	0.4664524714
189	0.4657824834
190	0.465297095
191	0.4645090739
192	0.463551712
193	0.4626906077
194	0.4618469874
195	0.4613519351
196	0.4609025955
197	0.4600170135
198	0.459441789
199	0.4586672465
200	0.4581849734
201	0.457754453
202	0.4575246175
203	0.4569957733
204	0.456491375
205	0.4559097926
206	0.4555580139
207	0.4545548757
208	0.4536474864
209	0.4531133652
210	0.4518949509
211	0.4513879458
212	0.4507863998
213	0.4500888824
214	0.4497653961
215	0.4489280383
216	0.448372968
217	0.4477237384
218	0.4470880826
219	0.4469050407
220	0.4461789449
221	0.445545133
222	0.4450017611
223	0.4446694692
224	0.4441149076
225	0.4434094111
226	0.4430864016
227	0.4424422582
228	0.4419388453
229	0.4410810471
230	0.4404794693
231	0.4401930809
232	0.4400801341
233	0.4399571737
234	0.4394701004
235	0.4388814926
236	0.4383688927
237	0.4382329941
238	0.4377526919
239	0.4370739619
240	0.4365149816
241	0.4360362371
242	0.435739104
243	0.4351703644
244	0.4344028791
245	0.4338036219
246	0.4334904989
247	0.432935524
248	0.4324693362
249	0.4317466736
250	0.4312815348
251	0.4312531789
252	0.4307477315
253	0.4302861532
254	0.4300112406
255	0.4296216647
256	0.4288772583
257	0.4279249191
258	0.4276326815
259	0.4271254857
260	0.4267706553
261	0.4258307139
262	0.4254583041
263	0.4252183278
264	0.4248751958
265	0.424752744
266	0.4244048119
267	0.4236233711
268	0.4231078466
269	0.4226514816
270	0.4224913597
271	0.4222735723
272	0.4218019168
273	0.4213015238
274	0.4207010905
275	0.4202970505
276	0.4197988828
277	0.4193439166
278	0.4191324234
279	0.4184616725
280	0.418029658
281	0.4177869479
282	0.4174490611
283	0.4167504628
284	0.4160334905
285	0.4158267339
286	0.4152077675
287	0.4145719528
288	0.4139281909
289	0.4136140188
290	0.4133852641
291	0.4127056122
292	0.4124883016
293	0.4120748202
294	0.4114672979
295	0.4109982491
296	0.4104656855
297	0.4099359512
298	0.4095766068
299	0.4091448466
300	0.4082876523
301	0.4079914093
302	0.4075439135
303	0.4071438471
304	0.4067530314
305	0.4063114802
306	0.4060120265
307	0.4057825724
308	0.4052389781
309	0.4047170003
310	0.4045164744
311	0.4040343602
312	0.4036888758
313	0.4028128306
314	0.4024405162
315	0.4020496051
316	0.4018551509
317	0.4012789408
318	0.4011940002
319	0.4007362684
320	0.3999853452
321	0.3994168282
322	0.3988656362
323	0.3983766874
324	0.3976188342
325	0.3970258077
326	0.3964792252
327	0.3959187826
328	0.3954910596
329	0.3947989782
330	0.3944071452
331	0.3938688914
332	0.3934911092
333	0.3931758881
334	0.3928631147
335	0.3926279068
336	0.3923956235
337	0.3919134776
338	0.3917624156
339	0.3910326004
340	0.3905995051
341	0.3898859024
342	0.3893145879
343	0.3888909658
344	0.3886058172
345	0.3885771116
346	0.3879670143
347	0.3878065427
348	0.387286377
349	0.3867287
350	0.386558946
351	0.3858270009
352	0.3854285558
353	0.3853731155
354	0.3847559929
355	0.3842360179
356	0.3840813319
357	0.3836515427
358	0.3833138784
359	0.3828445752
360	0.3826347987
361	0.3821089427
362	0.3816179593
363	0.3810446421
364	0.3808532397
365	0.3805842717
366	0.3800837835
367	0.3795545896
368	0.3791905085
369	0.3789333979
370	0.3786690712
371	0.378315258
372	0.377900664
373	0.3775510788
374	0.3769493103
375	0.3764012019
376	0.3761137009
377	0.375872612
378	0.375525411
379	0.3754953384
380	0.3752157529
381	0.3749173482
382	0.3743780454
383	0.3740160306
384	0.3734346708
385	0.372926267
386	0.3724257787
387	0.3719140371
388	0.3718002637
389	0.3715806007
390	0.3711393992
391	0.3707623164
392	0.3705239614
393	0.3703586578
394	0.369999059
395	0.3694854736
396	0.369303449
397	0.3691740036
398	0.3688976606
399	0.368598938
400	0.3681570053
401	0.3680616697
402	0.3676958402
403	0.3672795614
404	0.3667630514
405	0.3666777293
406	0.3663621902
407	0.3659757614
408	0.3657226563
409	0.365460364
410	0.3650488536
411	0.3647901535
412	0.3646350225
413	0.3643256187
414	0.3639700254
415	0.3635145505
416	0.3631985029
417	0.3628862063
418	0.3626485825
419	0.3624159813
420	0.3621257782
421	0.3619304021
422	0.3615605354
423	0.3612584432
424	0.3610748927
425	0.3606998444
426	0.3604679108
427	0.3599627813
428	0.3598181407
429	0.3596168518
430	0.3590880712
431	0.3588466326
432	0.3584155083
433	0.3582533201
434	0.3579486847
435	0.3578102748
436	0.3575114568
437	0.3572360992
438	0.3568808873
439	0.3562247276
440	0.3559715907
441	0.3556720098
442	0.355496184
443	0.3550341924
444	0.3548693975
445	0.3544961294
446	0.3542106628
447	0.3537021637
448	0.3533656438
449	0.3529885928
450	0.3528449376
451	0.3525366783
452	0.3522195816
453	0.3519014676
454	0.3515958786
455	0.3511823018
456	0.350922521
457	0.3504045486
458	0.3501665751
459	0.3499141057
460	0.3499141375
461	0.3495838165
462	0.3495076497
463	0.349187247
464	0.3488705317
465	0.3483769099
466	0.3480669657
467	0.3478700638
468	0.3475960414
469	0.3471851985
470	0.3471503894
471	0.3467853864
472	0.3467788061
473	0.3466588338
474	0.3465724309
475	0.3461197535
476	0.34567674
477	0.3453227997
478	0.3451856613
479	0.3449039459
480	0.344383049
481	0.3442416827
482	0.3437939008
483	0.3436194102
484	0.343238004
485	0.3430582047
486	0.3427936872
487	0.3424833616
488	0.3423213641
489	0.3420489629
490	0.3416823387
491	0.3413275401
492	0.3410391808
493	0.340804259
494	0.3405172348
495	0.3404794693
496	0.3398019155
497	0.3394064903
498	0.3391552289
499	0.3391045888
500	0.3387348493
501	0.3385325432
502	0.3384130796
503	0.3382182439
504	0.3380381266
505	0.3377916654
506	0.3373748461
507	0.3369626999
508	0.3365169525
509	0.336231041
510	0.3360066414
511	0.3356068929
512	0.3352363586
513	0.334843572
514	0.3345613162
515	0.3343825976
516	0.3340673447
517	0.3338022868
518	0.3334052404
519	0.3333755493
520	0.3331785202
521	0.3330196381
522	0.3326984406
523	0.3324481328
524	0.3322463671
525	0.3321182251
526	0.3318764369
527	0.3316616058
528	0.3313927333
529	0.3309488932
530	0.3309275945
531	0.3308984121
532	0.330608209
533	0.3302632968
534	0.3302027384
535	0.3298746745
536	0.3294647853
537	0.3292092641
538	0.3289477666
539	0.3286563238
540	0.3281785965
541	0.3281704585
542	0.3279003779
543	0.3275611242
544	0.3272913933
545	0.327153333
546	0.3268870989
547	0.3266641935
548	0.3265863101
549	0.3261297544
550	0.325901413
551	0.3256596565
552	0.3251875242
553	0.3249652863
554	0.3247554143
555	0.3244293213
556	0.3240923882
557	0.3240283648
558	0.3236561139
559	0.3234818141
560	0.3233325958
561	0.3233013789
562	0.3231649717
563	0.323064359
564	0.3226296107
565	0.3222918193
566	0.3220666567
567	0.3215672493
568	0.3213132858
569	0.3210603714
570	0.3208375931
571	0.3208307266
572	0.3204136531
573	0.3201526006
574	0.3200894674
575	0.319860522
576	0.3197226206
577	0.3192688942
578	0.3189578692
579	0.3185140928
580	0.3183703105
581	0.3182480176
582	0.3178091685
583	0.3174135208
584	0.3170647303
585	0.3167981466
586	0.3165044785
587	0.316212972
588	0.3158085823
589	0.3155792236
590	0.3153911273
591	0.3153320312
592	0.3149947484
593	0.3147317568
594	0.3144158681
595	0.3140637398
596	0.3139520963
597	0.3137343725
598	0.3134210587
599	0.3131701152
600	0.3131115278
601	0.312710762
602	0.3126421611
603	0.3124464671
604	0.3121837298
605	0.3119537989
606	0.3117683093
607	0.3116098086
608	0.3113588969
609	0.3110953013
610	0.3108938217
611	0.3104855537
612	0.3104592005
613	0.3102802277
614	0.3100227038
615	0.3097760518
616	0.3096663157
617	0.309478569
618	0.3091252963
619	0.3088593801
620	0.3087762197
621	0.3085941315
622	0.3084649086
623	0.3083640416
624	0.3080955505
625	0.3078368823
626	0.3075636864
627	0.3074175517
628	0.3071405411
629	0.3069453875
630	0.3066651026
631	0.3064499855
632	0.306159242
633	0.3058554967
